document_id,source_id,target_id,og_doc_id
news_000.xmi,11,5,98
news_000.xmi,11,6,98
news_000.xmi,11,20,98
news_000.xmi,14,3,98
news_000.xmi,14,5,98
news_000.xmi,14,7,98
news_002.xmi,2,3,118
news_002.xmi,2,5,118
news_002.xmi,2,7,118
news_002.xmi,6,6,118
news_002.xmi,9,17,118
news_003.xmi,3,7,126
news_003.xmi,3,8,126
news_003.xmi,4,2,126
news_003.xmi,4,9,126
news_003.xmi,10,6,126
news_004.xmi,2,2,162
news_004.xmi,2,20,162
news_004.xmi,7,11,162
news_004.xmi,7,12,162
news_004.xmi,13,18,162
news_006.xmi,5,8,279
news_006.xmi,5,9,279
news_006.xmi,10,15,279
news_006.xmi,10,18,279
news_007.xmi,3,1,294
news_007.xmi,3,5,294
news_007.xmi,3,6,294
news_007.xmi,8,9,294
news_008.xmi,6,7,333
news_008.xmi,6,8,333
news_009.xmi,8,9,122
news_009.xmi,8,18,122
news_009.xmi,8,19,122
news_010.xmi,8,5,362
news_010.xmi,8,12,362
news_010.xmi,8,13,362
news_010.xmi,9,15,362
news_010.xmi,11,2,362
news_010.xmi,11,6,362
news_010.xmi,11,7,362
news_020.xmi,11,3,89
news_020.xmi,11,8,89
news_020.xmi,15,13,89
news_020.xmi,15,14,89
news_020.xmi,15,18,89
news_021.xmi,8,7,95
news_021.xmi,12,10,95
news_021.xmi,12,11,95
news_021.xmi,12,13,95
news_023.xmi,7,11,167
news_023.xmi,7,12,167
news_023.xmi,7,13,167
news_023.xmi,16,16,167
news_023.xmi,16,17,167
news_024.xmi,6,17,169
news_024.xmi,9,16,169
news_024.xmi,15,14,169
news_025.xmi,5,4,213
news_025.xmi,5,5,213
news_025.xmi,7,7,213
news_025.xmi,7,10,213
news_025.xmi,10,8,213
news_025.xmi,10,16,213
news_025.xmi,10,28,213
news_026.xmi,6,12,231
news_026.xmi,6,14,231
news_026.xmi,9,2,231
news_026.xmi,9,17,231
news_026.xmi,9,18,231
news_026.xmi,18,12,231
news_026.xmi,18,13,231
news_027.xmi,14,20,243
news_027.xmi,14,21,243
news_028.xmi,5,4,246
news_028.xmi,11,2,246
news_029.xmi,2,2,360
news_029.xmi,2,12,360
news_029.xmi,2,16,360
news_029.xmi,14,20,360
