document_id,source_id,target_id,method,annotator_1,annotator_2,source_sentence,target_sentence,agreement,both_link
98,1,0,random,No Link,No Link,Momofuku Ando often ate his company's instant noodles,Japanese papers eulogize inventor of instant noodles,True,False
98,1,3,retriever,No Link,No Link,Momofuku Ando often ate his company's instant noodles,"Japan yesterday bade farewell to Momofuku Ando, known as the inventor of instant noodles that have become a global household product, after he died aged 96.",True,False
98,1,22,llm,No Link,No Link,Momofuku Ando often ate his company's instant noodles,"According to the Mainichi Shimbun, Ando was last seen in public on Wednesday when he made a New Year's speech at Nissin's head office in Osaka and had a lunch with executives, a bowl of Chicken Ramen with rice cake.",True,False
98,2,1,llm,Link,Link,"Mr Ando was born in Taiwan in 1910 and moved to Japan in 1933, founding Nissin Food Products Co after World War II to provide cheap food for the masses.","FOOD PIONEER Born in Taiwan in 1910, Momofuku Ando put the first instant noodle product on the market in 1958.",True,True
98,2,4,retriever,Link,Link,"Mr Ando was born in Taiwan in 1910 and moved to Japan in 1933, founding Nissin Food Products Co after World War II to provide cheap food for the masses.","Ando died of acute heart failure on Friday, said Nissin Food Products Co, the company he founded in 1948 in the aftermath of World War II and built into a multi-billion dollar empire.",True,True
98,2,6,retriever,No Link,No Link,"Mr Ando was born in Taiwan in 1910 and moved to Japan in 1933, founding Nissin Food Products Co after World War II to provide cheap food for the masses.","Nissin Foods founder Momofuku Ando samples noodles developed in collaboration with the Japan Aerospace Exploration Agency for Japanese astronaut Soichi Noguchi's mission aboard the space shuttle Discovery during the unveiling in Osaka, western Osaka, on July 27, 2005.",True,False
98,2,8,llm,Link,Link,"Mr Ando was born in Taiwan in 1910 and moved to Japan in 1933, founding Nissin Food Products Co after World War II to provide cheap food for the masses.","Born Wu Bai-fu ( 吳百福 ) in Chiayi, Taiwan, on March 5, 1910, Ando initially owned clothing companies in Taipei and Osaka while he was a student at Ritsumeikan University in Kyoto.",True,True
98,2,22,random,No Link,No Link,"Mr Ando was born in Taiwan in 1910 and moved to Japan in 1933, founding Nissin Food Products Co after World War II to provide cheap food for the masses.","According to the Mainichi Shimbun, Ando was last seen in public on Wednesday when he made a New Year's speech at Nissin's head office in Osaka and had a lunch with executives, a bowl of Chicken Ramen with rice cake.",True,False
98,3,10,random,No Link,No Link,"His most famous product, Cup Noodle, was released in 1971.",The chicken-flavored dried noodle cake could be served in minutes by pouring hot water over it in a bowl.,True,False
98,3,16,mutual,Link,No Link,"His most famous product, Cup Noodle, was released in 1971.","In 1970, Nissin established its US subsidiary, Nissin Foods (USA) Inc, and in the next year launched the ""Cup Noodle,"" a pre-cooked slab of noodles in a waterproof styrofoam container.",False,False
